province;red;green;blue;x;x
230;204;161;166;ipsul;x
231;221;152;175;porte_plais;x
232;236;136;154;cozaal_isle;x
233;225;137;173;flores_isle;x
234;230;137;180;puerto_asta;x
235;225;128;157;islas_mujen;x
236;151;160;204;cupermill;x
237;164;157;178;meigle;x
238;170;157;186;creach;x
239;146;125;170;talham;x
240;183;165;203;glassey;x
241;176;164;204;eunach;x
242;154;142;186;perlmig;x
243;175;151;196;bredei;x
244;175;134;195;ingedurst;x
245;166;137;179;westwynd;x
246;158;155;203;muntcopse;x
247;165;161;199;landscopse;x
248;175;166;199;ogham;x
249;169;155;193;fintry;x
250;153;155;173;tulliemet;x
251;167;153;182;mageross;x
252;156;211;166;tretor;x
253;127;161;152;garelania;x
254;147;162;151;sigetorn;x
255;131;192;143;stenvar;x
256;116;166;163;hirdal;x
257;117;182;140;rundefjell;x
258;142;177;151;alanfjell;x
259;127;186;143;kyglenn;x
260;112;173;168;rypefjell;x
261;139;187;167;enetun;x
262;131;159;175;ottaholm;x
263;129;181;161;nest_olovhamm;x
264;121;174;140;nest_grebor;x
265;115;193;171;nest_aldruin;x
266;148;173;160;nest_ruin;x
267;146;189;154;beory;x
268;127;147;187;coctenford;x
269;167;120;168;asterisle;x
270;150;140;183;withenworth;x
271;160;115;171;circmor;x
272;133;117;188;pithesburn;x
273;183;125;212;codwulf;x
274;138;111;185;pikesbourne;x
275;166;130;185;hindeswade;x
276;166;128;157;garelan;x
277;146;116;172;yaxleyliede;x
278;166;145;164;corkwell;x
279;154;142;173;fosclif;x
280;163;125;158;beewall;x
281;162;139;177;deorlinghlaw;x
282;132;143;181;wollonswode;x
283;165;145;179;oxenclif;x
284;150;137;183;witangarth;x
285;179;130;202;brigclif;x
286;158;155;197;bollum;x
287;167;127;205;blebsen;x
288;143;151;202;sallfarm;x
289;168;125;163;ceorsholt;x
290;164;121;187;pacsilden;x
291;151;158;180;lydnburh;x
292;177;154;181;cherscol;x
293;156;140;173;oxenburh;x
294;163;151;204;midwude;x
295;143;124;184;swanlaw;x
296;172;129;207;puntwudu;x
297;160;146;196;pachnor;x
298;169;157;201;slryde;x
299;167;156;173;vila_raina;x
300;175;111;156;amilly;x
301;177;121;159;escalle;x
302;184;125;150;nimes;x
303;187;108;134;alouse;x
304;156;140;127;la_coutance;x
305;184;113;161;limousse;x
306;194;115;144;pellier;x
307;163;117;125;paritras;x
308;166;131;139;mercatour;x
309;185;107;159;vanoise;x
310;183;128;161;boisse_ivoire;x
311;191;138;157;mart_haute;x
312;203;144;153;lacerion;x
313;207;136;161;gap_de_dresse;x
314;179;150;149;lunnais;x
315;185;155;163;dinnan;x
316;200;129;181;toury;x
317;216;137;169;rennais;x
318;206;151;159;duvion;x
319;153;132;155;laque_alais;x
320;161;105;130;truve;x
321;178;122;131;dirois;x
322;181;140;129;attanais;x
323;182;133;137;boise_alais;x
324;160;130;146;vattanais;x
325;162;121;124;sumerrois;x
326;168;134;132;cacedarconne;x
327;178;148;157;gimont;x
328;187;136;166;gris;x
329;198;123;160;ise_de_joudain;x
330;177;123;165;monperse;x
331;182;136;141;gaillac;x
332;197;148;175;bangnac;x
333;198;149;149;grisolle;x
334;199;152;147;de_colomiers;x
335;175;134;173;rabastence;x
336;178;126;135;saint_lume;x
337;189;125;152;saint_lys;x
338;204;152;168;nouveaux_bije;x
339;174;132;175;samatan;x
340;191;122;146;lombez_trois;x
341;176;139;147;des_ecrins;x
342;183;118;147;pied_de_montagne;x
343;187;105;154;montelune;x
344;205;129;155;chambery;x
345;177;139;146;montelmar;x
346;185;112;167;orne;x
347;195;101;152;renoble;x
348;197;103;146;charmenix;x
349;206;127;162;teula;x
350;170;123;151;centre_vixe;x
351;202;119;139;surenne;x
352;179;137;168;pays_de_loisir;x
353;186;131;151;loiree_haute;x
354;200;109;162;pays_du_loiree;x
355;199;121;118;chedring;x
356;207;132;133;castlefair;x
357;212;126;96;milthousebridge;x
358;187;100;116;kirkeland;x
359;191;108;97;carron;x
360;195;121;115;moffat;x
361;213;125;99;galtrick;x
362;220;110;120;ettrick;x
363;181;107;119;milton;x
364;184;106;125;roberton;x
365;202;113;104;wintcastle;x
366;213;118;126;garsmarket;x
367;195;120;101;bootlecastle;x
368;201;119;123;bolton;x
369;203;122;130;roose;x
370;203;135;118;skelmersdale;x
371;176;111;125;westdale;x
372;177;137;139;grint;x
373;181;112;125;southdale;x
374;185;130;101;newton_willows;x
375;197;115;126;formeby;x
376;197;140;127;dalern;x
377;173;144;111;ellesmere;x
378;185;109;117;ormsbrucht;x
379;202;136;114;saint_helens;x
380;208;139;122;thorne;x
381;190;138;113;solthul;x
382;194;145;131;birming;x
383;204;143;137;stokesay;x
384;212;138;118;spa;x
385;196;143;106;mikchurch;x
386;200;130;105;marston;x
387;207;131;106;brummyby;x
388;212;109;127;bromyard;x
389;185;111;106;kidminister;x
390;203;118;107;droitwich;x
391;216;144;114;hull;x
392;192;133;136;covet;x
393;196;135;103;stouren;x
394;201;140;137;lizenfurd;x
395;222;135;102;styren;x
396;185;119;121;aden;x
397;208;119;114;reddington;x
398;215;117;116;albanfurd;x
399;215;157;125;welle;x
400;220;117;149;klautern;x
401;180;149;138;altenburg;x
402;195;119;121;meumark;x
403;194;126;140;magde;x
404;200;127;143;durchenstein;x
405;200;143;135;wassixen;x
406;201;130;113;wurthingenburgh;x
407;203;137;140;treppewitz;x
408;207;153;149;uttgart;x
409;168;175;145;ust_esverh;x
410;189;173;130;boss_nen;x
411;192;169;153;boss_herze;x
412;158;150;132;allachia;x
413;158;150;140;rhodokia;x
414;194;159;153;morvinda;x
415;160;173;142;bulvakia;x
416;180;178;153;rumvalia;x
417;189;147;130;virgoviste;x
418;193;163;127;maz_zyaka;x
419;172;142;122;maid_crno;x
420;176;173;136;morelle;x
421;178;176;152;epirania;x
422;184;173;132;boss_sarve;x
423;103;162;147;athenai_nisia;x
424;115;132;163;nisidia;x
425;116;149;147;monastiri;x
426;129;135;146;megara;x
427;134;141;142;limnos_nisia;x
428;141;143;137;kriti;x
429;103;128;135;tessoliki;x
430;110;155;148;athous;x
431;134;151;143;oreino_teichos;x
432;143;150;167;ioannina;x
433;108;138;153;therma;x
434;131;138;134;karpenissi;x
435;156;186;186;rakkai;x
436;158;195;211;esmira;x
437;159;195;196;heraclea;x
438;168;195;184;kataion;x
439;151;180;186;erzina;x
440;153;183;174;arzabzon;x
441;160;192;187;limnosa;x
442;164;169;201;alexandroupoli;x
443;172;176;213;atolia;x
444;183;178;213;anakion;x
445;153;172;184;sardes;x
446;166;207;174;sebastamosa;x
447;180;190;202;verkilis;x
448;184;178;189;tzakazvilis;x
449;128;163;183;akhalakaio;x
450;142;147;171;karsatin;x
451;150;174;189;shekit_khachmaz;x
452;156;176;159;beylagan;x
453;130;170;189;ozurgheti;x
454;142;153;178;stepanavan;x
455;151;169;163;alverdishvan;x
456;164;147;154;hrzadan;x
457;129;173;188;martvili;x
458;132;163;155;derbentyurt;x
459;133;156;180;tzkalaitsa;x
460;144;171;178;khazavyurt;x
461;161;157;187;kizlyar;x
462;164;176;175;anaklia;x
463;103;134;115;halle_centre;x
464;133;129;132;halle_occident;x
465;136;128;125;herrenix;x
466;137;105;130;ais_surgenne;x
467;139;109;113;bastadon;x
468;109;123;129;veerle;x
469;115;102;101;haarle;x
470;133;139;113;heerle;x
471;136;122;117;halle_nord;x
472;111;137;135;irvelle;x
473;164;144;118;autinge;x
474;174;122;115;coulogne;x
475;188;135;119;hames;x
476;167;130;129;guemps;x
477;170;118;114;nortkerque;x
478;198;133;140;wierre_effe;x
479;177;119;127;bazinghen;x
480;162;98;93;bonesward;x
481;180;103;114;bottesford;x
482;163;94;95;gobirston;x
483;176;113;97;gratteham;x
484;177;96;115;colsterworth;x
485;183;115;110;eaton;x
486;163;119;114;old_leake;x
487;165;98;97;londerry;x
488;171;113;89;billshay;x
489;197;100;98;mawthorp;x
490;166;119;98;spalding;x
491;176;116;126;leake;x
492;185;108;119;wyberton;x
493;194;107;95;holbeach;x
494;166;103;122;rustington;x
495;184;130;118;borecastle;x
496;185;99;89;walterloo;x
497;188;104;101;mid_luvani;x
498;167;111;100;crawlewes;x
499;168;113;90;haywarth;x
500;190;115;96;chisenceaester;x
501;158;96;127;wynderwald;x
502;171;120;106;tilletcastle;x
503;182;98;122;burguess_hille;x
504;189;134;120;horsham;x
505;193;120;125;nutbourne;x
506;186;137;135;paigneston;x
507;192;158;144;south_tawton;x
508;218;161;145;abbinburgh;x
509;221;173;139;lydsbridge_upon_langford;x
510;200;173;145;godivaburgh;x
511;204;143;169;falsmouthe;x
512;218;144;158;helstone;x
513;221;147;154;landuswyth;x
514;191;147;154;north_tawton;x
515;194;166;148;newton;x
516;205;171;142;postbridge;x
517;208;153;147;bridlefort;x
518;215;170;156;verrickston;x
519;119;153;179;overbos;x
520;136;143;170;pol_bijlmer;x
521;146;147;148;bergengreep;x
522;121;143;154;pol_harling;x
523;122;126;149;pol_callant;x
524;131;138;143;pol_elft;x
525;118;154;174;middenmeer;x
526;125;125;180;de_aker;x
527;140;142;152;gierenwijk;x
528;113;148;176;pol_zwanen;x
529;133;150;179;pol_helder;x
530;92;125;135;ermeplaat;x
531;102;101;169;westerschen;x
532;105;95;168;koolplaats;x
533;115;104;135;rollum;x
534;116;121;133;hollum;x
535;120;129;140;gastrikum;x
536;93;125;163;dallevald;x
537;108;109;149;west_aan_ze;x
538;112;99;145;tieren;x
539;118;94;142;tielburg;x
540;97;123;164;dee_horn;x
541;101;129;143;scheiere;x
542;117;113;139;waddenzat;x
543;117;128;141;halfweg;x
544;119;131;147;oosterschen;x
545;144;176;172;versollen;x
546;165;183;189;elfenbos;x
547;135;162;161;nordeme;x
548;140;189;172;rustwacht;x
549;151;156;175;zuiderbank;x
550;166;167;185;elfenmuur;x
551;133;196;165;solmer;x
552;145;166;160;westsollen;x
553;149;158;185;susollen;x
554;154;158;173;marken;x
555;156;156;166;midsollen;x
556;158;166;176;sollen_punt;x
557;132;162;160;thurmar_ans;x
558;143;196;178;lucht_siuil;x
559;151;163;173;gan_arm;x
560;137;199;172;coonanna;x
561;139;176;184;fear_glas;x
562;161;167;163;aonair;x
563;167;179;178;chiarraii;x
564;156;187;173;lar;x
565;157;171;184;deiscirt;x
566;163;174;145;aille;x
567;165;167;173;bo;x
568;166;174;178;oielan_gear;x
569;135;182;164;iontabaobha;x
570;138;170;172;fada;x
571;141;167;182;thiar;x
572;149;199;146;sochraide;x
573;101;123;144;calirene;x
574;123;108;127;tarralene;x
575;112;130;140;donvarene;x
576;121;117;142;seravelle;x
577;110;111;120;oltenesse;x
578;110;140;137;tervassene;x
579;107;120;146;siltaleyne;x
580;125;116;138;torissene;x
581;121;146;124;pellantelle;x
582;141;113;122;pellorisse;x
583;133;143;142;pelarene;x
584;110;131;145;orsanne;x
585;101;113;147;fenassene;x
586;153;153;142;senavelle;x
587;149;148;166;pellayne;x
588;128;159;155;sivalene;x
589;136;138;158;serratenyo;x
590;143;122;169;servalene;x
591;147;126;143;vellorene;x
592;125;156;166;narissene;x
593;119;147;155;montessene;x
594;118;162;149;tarvelleno;x
595;138;145;148;ressalene;x
596;149;126;142;sernavelle;x
597;135;126;142;carvelleno;x
598;160;222;180;solavik;x
599;171;233;180;strandvik;x
600;177;212;208;rilvik;x
601;181;213;178;irvandvik;x
602;186;235;176;billund;x
603;187;228;185;ostervainvik;x
604;157;197;196;alevik;x
605;157;218;169;frederik;x
606;173;200;195;mannelund;x
607;179;218;170;kongmordland;x
608;161;198;194;savorvik;x
609;166;216;184;kjerulf;x
610;173;207;205;medelpad;x
611;174;203;184;stralsund;x
612;174;204;168;uppland;x
613;134;217;177;langeland;x
614;148;221;169;bergenhav;x
615;157;210;172;vidvagfjord;x
616;162;209;190;talvikvass;x
617;131;206;173;sterkberg;x
618;133;198;169;lundenes;x
619;145;192;157;svensberg;x
620;159;206;169;hylgeberg;x
621;131;205;189;kvenbotn;x
622;135;200;153;ornvalberg;x
623;140;219;168;norrland;x
624;146;204;183;hurvaldberg;x
625;147;197;163;sastorvik;x
626;158;218;173;rundehaugen;x
627;164;219;172;halsberg;x
628;133;206;180;hestlund;x
629;134;180;171;tollstiberg;x
630;135;198;156;fylkesund;x
631;148;211;165;geirangerfjord;x
632;149;206;177;firingerfjord;x
633;150;184;165;nystadfjord;x
634;136;207;156;sundfjorden;x
635;139;215;171;kerilfjord;x
636;161;183;156;norveney;x
637;167;185;185;kjetilfjord;x
638;136;192;154;prekestland;x
639;144;192;152;osreney;x
640;145;182;174;kreney;x
641;155;179;148;kirkland;x
642;163;176;172;ingeney;x
643;165;179;152;ingentey;x
644;136;200;168;kautokinn;x
645;138;176;150;helsund;x
646;138;190;171;kankanvik;x
647;140;180;161;itteksund;x
648;148;182;159;mittberg;x
649;160;179;169;peltola;x
650;131;184;158;mikslund;x
651;132;199;168;peksimark;x
652;153;175;146;savolakan;x
653;156;179;164;angermann;x
654;120;204;153;isheim;x
655;131;173;158;pansala;x
656;131;176;165;karmarvik;x
657;144;175;154;rimark;x
658;150;184;157;kattehaugen;x
659;139;169;177;lysasund;x
660;137;156;150;elveig;x
661;153;152;141;eidslind;x
662;128;182;167;gismund;x
663;140;153;166;nordveglor;x
664;128;182;154;kvanne;x
665;150;175;176;rovik;x
666;138;150;144;kirkaby;x
667;129;149;163;nesvik;x
668;147;168;153;silley;x
669;135;181;152;sekken;x
670;161;182;158;odda;x
671;150;187;163;mundheim;x
672;134;169;155;augheim;x
673;160;170;152;folheim;x
674;138;148;130;bjeren;x
675;124;135;132;nyslund;x
676;118;141;148;heggenes;x
677;138;153;154;vervik;x
678;111;153;158;iseney;x
679;140;169;152;milslund;x
680;133;169;151;buldarey;x
681;135;140;136;sandvik;x
682;111;150;141;raundey;x
683;112;166;151;arasoya;x
684;140;133;134;eneby;x
685;106;166;148;sleney;x
686;110;175;149;tysey;x
687;125;162;137;husavik;x
688;111;174;141;stradvik;x
689;89;150;158;halheim;x
690;102;151;163;haugheim;x
691;101;153;143;hundheim;x
692;111;145;141;rekesvik;x
693;126;162;142;kotheim;x
694;88;145;137;kullheim;x
695;97;148;164;tellevag;x
696;104;146;137;rekeheim;x
697;114;159;159;lutesfishheim;x
698;92;183;129;torskheim;x
699;119;192;142;middeland;x
700;128;174;167;svenlandet;x
701;132;186;154;langbyen;x
702;138;187;166;nornhavn;x
703;105;152;168;botn;x
704;123;173;150;selfvik;x
705;126;157;160;seilaland;x
706;127;173;152;sundland;x
707;125;170;138;gamlevik;x
708;130;159;158;ripefjord;x
709;130;164;140;hellefjord;x
710;130;183;168;olavfjord;x
711;145;203;175;skarmyre;x
712;146;205;185;ringstad;x
713;151;204;180;laudevik;x
714;145;181;183;sortland;x
715;150;187;178;hvitland;x
716;154;197;170;harstad;x
717;139;169;167;gravdal;x
718;163;174;153;ramberg;x
719;156;193;159;hunneberg;x
720;158;198;190;risoyhamn;x
721;163;196;156;nykesund;x
722;131;171;184;bjarke;x
723;150;182;169;skarkhamn;x
724;151;192;159;sverreoy;x
725;155;106;97;baybridge;x
726;161;85;113;annfield;x
727;189;98;117;chipestre;x
728;152;99;91;stanley;x
729;160;106;101;hought;x
730;163;91;101;gateshead;x
731;177;100;97;hexenham;x
732;192;120;93;corbridge;x
733;169;119;114;washing;x
734;188;105;117;yorston;x
735;189;86;110;whythergate;x
736;209;126;98;consett;x
737;197;139;135;fieldbury;x
738;201;121;99;mildenhal;x
739;205;101;99;slowmarket;x
740;207;133;121;cloisterburgh;x
741;185;116;116;witancastre;x
742;193;100;95;potcastle;x
743;200;99;98;lutton_upon_bridgead;x
744;202;118;112;formesmeade;x
745;204;130;125;lutton;x
746;202;129;104;saint_ives;x
747;212;105;98;hadleigh;x
748;170;114;124;rinnetcastle;x
749;171;131;113;catterbury;x
750;203;96;122;worthing;x
751;204;107;97;oxenfurd;x
752;186;126;93;narlas;x
753;193;119;104;siltcastle;x
754;170;121;92;walthingburgh;x
755;172;112;99;sutton;x
756;178;97;125;bovrington;x
757;192;108;114;attelgate;x
758;196;97;96;stormington;x
759;119;169;170;sciermanna;x
760;124;186;174;sadeiannaar;x
761;143;191;169;anchal_wald;x
762;153;187;189;lesinmon_mo;x
763;126;164;181;arranca;x
764;130;157;159;meiasn_moor;x
765;137;168;162;mirikiaan;x
766;145;190;191;leisaranaar;x
767;148;176;160;paravannaar;x
768;122;170;186;anchal_peak;x
769;122;190;181;ravanaas;x
770;136;180;166;paravennaar;x
771;149;169;187;anchal_mars;x
772;108;161;183;eil_ise;x
773;111;185;187;allat;x
774;130;172;201;sca_eeilon;x
775;132;190;171;valon;x
776;138;165;201;eilodoor;x
777;114;178;182;olvoor_moor;x
778;123;171;180;qartannaar;x
779;124;180;161;simsaan;x
780;127;157;178;uelman_feeila;x
781;132;170;173;sismaan;x
782;137;158;162;samannae;x
783;117;176;199;ennas_varei;x
784;134;179;196;caelaerre;x
785;137;174;184;ennas_vis;x
786;146;187;190;oesmalaan_ie;x
787;141;212;196;carache_ise;x
788;147;212;191;rivere_ise;x
789;155;186;218;mollere_ise;x
790;173;197;209;ivusul;x
791;144;203;195;elleialavon;x
792;147;205;198;ulvisalaan;x
793;156;185;195;maan;x
794;158;199;201;sanaara;x
795;159;178;213;avalla_loseia;x
796;143;204;205;athal_salen;x
797;145;191;184;ailayan_ase;x
798;148;209;197;velincara;x
799;168;187;213;ylesse_ise;x
800;168;203;191;saleiaan_fa;x
801;110;151;165;hoogpunte;x
802;113;189;184;ulmanaal;x
803;139;182;162;avaal_moor;x
804;145;155;157;meias_moor;x
805;150;183;190;milaan_qarn;x
806;118;181;177;allanlaaen;x
807;137;176;189;avonn;x
808;143;153;177;meelleenn;x
809;144;171;189;salamaan;x
810;147;189;160;qalamann;x
811;150;164;191;callaei;x
812;110;155;152;milaan_sora;x
813;125;190;177;milaan_alaa;x
814;133;180;183;eereseimaal;x
815;138;151;186;ceerelia;x
816;129;188;194;eihunt_moor;x
817;133;166;196;valanara_mo;x
818;137;188;204;ellei_moor;x
819;142;179;175;mulaaan_moo;x
820;145;173;179;ennmeia;x
821;124;186;186;sca_menais;x
822;133;193;184;olloesa;x
823;135;185;177;minneia;x
824;158;201;202;linasaam;x
825;140;178;190;eismarse;x
826;145;191;176;avmarsae;x
827;147;188;195;iesh_mena;x
828;151;196;182;solmarse;x
829;154;187;177;aetlana;x
830;164;200;199;olan_valei;x
831;185;151;95;narran_isles;x
832;186;140;92;essakos_isles;x
833;183;131;115;kayes;x
834;194;134;93;groumana;x
835;200;161;118;dioran_isles;x
836;211;157;92;kidal;x
837;174;148;123;elevana;x
838;175;166;115;nema_isles;x
839;199;133;111;nema;x
840;200;169;128;kosa;x
841;205;165;89;shamiya_isles;x
842;195;150;91;rayhani;x
843;194;152;96;rashten;x
844;186;129;125;khashepet;x
845;171;131;95;akheseru;x
846;166;146;111;peremhu;x
847;185;167;95;sameret;x
848;188;134;116;nubaret;x
849;182;140;103;oqhemu;x
850;195;131;106;lameru;x
851;198;134;127;ganetep;x
852;170;146;100;waqshet;x
853;184;160;110;gandermeer;x
854;192;165;117;goorberg;x
855;194;154;103;drostmeer;x
856;197;137;92;setamru;x
857;190;169;120;palavoria;x
858;196;178;106;arestal;x
859;200;143;124;tonavestre;x
860;194;178;95;pashmu;x
861;201;139;134;setheru;x
862;190;161;98;aqetru;x
863;206;175;100;sardovia;x
864;195;151;95;savarodia;x
865;210;159;118;silavenda;x
866;178;172;128;eslavena;x
867;190;166;127;tonavera;x
868;181;162;98;kefshemet;x
869;198;147;97;cresolina;x
870;179;176;126;grasonia;x
871;208;164;102;tourougur;x
872;186;188;160;alcaniz;x
873;192;200;146;lbertade;x
874;193;184;152;santa_clara;x
875;196;197;161;cuenzerca;x
876;183;191;146;segovia;x
877;199;192;141;lamarca;x
878;202;187;129;plasencia;x
879;205;198;140;forriesta_sul;x
880;196;191;137;paredes;x
881;199;173;160;lacabera;x
882;201;177;167;rugulia;x
883;177;193;136;costa_marca;x
884;186;198;140;tallaverda;x
885;192;172;158;cujiro;x
886;208;165;151;anahacasa;x
887;188;171;154;penilla;x
888;200;184;137;forriesta_natal;x
889;208;173;120;olaze;x
890;208;188;144;villa_mena;x
891;193;189;138;ferrol;x
892;207;187;127;corazon;x
893;212;183;135;torrelaguna;x
894;222;196;129;pondevega;x
895;196;176;128;tollavega;x
896;202;191;126;compostela;x
897;219;196;119;cahecho;x
898;220;194;148;llanes;x
899;221;183;147;orriondas;x
900;202;197;151;vasco;x
901;225;200;144;eivsa;x
902;194;200;130;dharbandora;x
903;204;178;134;karwar;x
904;215;176;115;canaguinim;x
905;220;182;123;manilon;x
906;204;174;116;barrsa;x
907;214;171;125;oras;x
908;200;204;123;nagoa;x
909;210;199;147;quezon;x
910;217;200;113;malabon;x
911;223;190;114;chandagad;x
