From;To;Type;Through;-1;-1;-1;-1;Comment
414;442;sea;1264;-1;-1;-1;-1;morvinda-alexandroupoli
344;351;sea;1267;-1;-1;-1;-1;chambery-surenne
344;341;sea;1267;-1;-1;-1;-1;chambery-des_ecrins
120;118;sea;1229;-1;-1;-1;-1;redang-dalmaaten
343;341;sea;1267;-1;-1;-1;-1;montelune-des_ecrins
225;223;sea;1177;-1;-1;-1;-1;azes-cajarzes
970;962;sea;1263;-1;-1;-1;-1;niccia-panarea_pontina
227;218;sea;1158;-1;-1;-1;-1;las_palmas-la_rosa
834;833;sea;1228;-1;-1;-1;-1;groumana-kayes
836;831;sea;1210;-1;-1;-1;-1;kidal-narran_isles
229;232;sea;1152;-1;-1;-1;-1;mezaal_isle-cozaal_isle
844;855;sea;1216;-1;-1;-1;-1;khashepet-drostmeer
513;472;sea;1172;-1;-1;-1;-1;landuswyth-irvelle
1;360;sea;1241;-1;-1;-1;-1;regalia-moffat
999;523;sea;1148;-1;-1;-1;-1;noorgrootland-pol_callant
575;574;sea;1164;-1;-1;-1;-1;donvarene-tarralene
575;578;sea;1164;-1;-1;-1;-1;donvarene-tervassene
596;586;sea;1153;-1;-1;-1;-1;sernavelle-senavelle
237;239;sea;1130;-1;-1;-1;-1;meigle-talham
239;592;sea;1130;-1;-1;-1;-1;talham-narissene
592;594;sea;1180;-1;-1;-1;-1;narissene-tarvelleno
594;595;sea;1153;-1;-1;-1;-1;tarvelleno-ressalene
595;586;sea;1153;-1;-1;-1;-1;ressalene-senavelle
283;286;sea;1236;-1;-1;-1;-1;oxenclif-bollum
283;288;sea;1236;-1;-1;-1;-1;oxenclif-sallfarm
296;297;sea;1236;-1;-1;-1;-1;puntwudu-pachnor
624;700;sea;1188;-1;-1;-1;-1;hurvaldberg-svenlandet
623;719;sea;1161;-1;-1;-1;-1;norrland-hunneberg
707;708;sea;1192;-1;-1;-1;-1;gamlevik-ripefjord
707;663;sea;1192;-1;-1;-1;-1;gamlevik-nordveglor
615;697;sea;1150;-1;-1;-1;-1;vidvagfjord-lutesfishheim
1111;1114;sea;1244;-1;-1;-1;-1;saransk-muromorsk
258;66;sea;1247;-1;-1;-1;-1;alanfjell-melluvagh
68;66;sea;1161;-1;-1;-1;-1;strathynhide-melluvagh
262;265;sea;1247;-1;-1;-1;-1;ottaholm-nest_aldruin
263;262;sea;1247;-1;-1;-1;-1;nest_olovhamm-ottaholm
264;267;sea;1247;-1;-1;-1;-1;nest_grebor-beory
267;273;sea;1247;-1;-1;-1;-1;beory-codwulf
627;705;sea;1197;-1;-1;-1;-1;halsberg-seilaland
705;706;sea;1197;-1;-1;-1;-1;seilaland-sundland
253;674;sea;1174;-1;-1;-1;-1;garelania-bjeren
674;675;sea;1174;-1;-1;-1;-1;bjeren-nyslund
71;74;sea;1203;-1;-1;-1;-1;loch_culnanoc-greshornish
74;76;sea;1203;-1;-1;-1;-1;greshornish-dinwall
224;825;sea;1242;-1;-1;-1;-1;mazzalora-eismarse
222;225;sea;1140;-1;-1;-1;-1;ferreira_an-azes
221;225;sea;1157;-1;-1;-1;-1;funchal-azes
221;226;sea;1157;-1;-1;-1;-1;funchal-maspalomas
220;218;sea;1246;-1;-1;-1;-1;tasartio-la_rosa
218;234;sea;1246;-1;-1;-1;-1;la_rosa-puerto_asta
235;231;sea;1189;-1;-1;-1;-1;islas_mujen-porte_plais
231;230;sea;1189;-1;-1;-1;-1;porte_plais-ipsul
230;862;sea;1189;-1;-1;-1;-1;ipsul-aqetru
862;860;sea;1201;-1;-1;-1;-1;aqetru-pashmu
868;862;sea;1177;-1;-1;-1;-1;kefshemet-aqetru
868;869;sea;1175;-1;-1;-1;-1;kefshemet-cresolina
865;853;sea;1240;-1;-1;-1;-1;silavenda-gandermeer
563;17;sea;1220;-1;-1;-1;-1;chiarraii-schierkum
567;557;sea;1169;-1;-1;-1;-1;bo-thurmar_ans
949;981;sea;1134;-1;-1;-1;-1;ista-savarolesta
943;993;sea;1227;-1;-1;-1;-1;castania-moduglamura
993;997;sea;1227;-1;-1;-1;-1;moduglamura-vicii
944;970;sea;1272;-1;-1;-1;-1;forio-niccia
1123;1122;sea;1155;-1;-1;-1;-1;sepulvosh-novolgar
1123;1124;sea;1244;-1;-1;-1;-1;sepulvosh-voskresensk
833;993;sea;1227;-1;-1;-1;-1;kayes-moduglamura
834;836;sea;1144;-1;-1;-1;-1;groumana-kidal
836;840;sea;1209;-1;-1;-1;-1;kidal-kosa
722;724;sea;1174;-1;-1;-1;-1;bjarke-sverreoy
724;254;sea;1174;-1;-1;-1;-1;sverreoy-sigetorn
714;723;sea;1190;-1;-1;-1;-1;sortland-skarkhamn
722;724;sea;1174;-1;-1;-1;-1;bjarke-sverreoy
724;254;sea;1174;-1;-1;-1;-1;sverreoy-sigetorn
839;426;sea;1209;-1;-1;-1;-1;nema-megara
839;840;sea;1144;-1;-1;-1;-1;nema-kosa
533;19;sea;1129;-1;-1;-1;-1;rollum-texellen
590;596;sea;1169;-1;-1;-1;-1;servalene-sernavelle
